Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Variant Id
prod_01KKC5KXMBQ5SH2N118H69BGBA,rapala-freeloader-425-soft-bait,Rapala CrushCity Freeloader 4.25,published,https://mtvz.bg/products/rapala-freeloader-425.jpg,variant_01KKC5KXYBC5J8ZRMZ7FWV28QC
prod_01KKC5KXMBRJQ3RNYPZBKR00GJ,blue-fox-pixee-spoon-10959-lure,Blue Fox Pixee Spoon 01-30,published,https://mtvz.bg/products/blue-fox-pixee-spoon-01-30.jpg,variant_01KKC5KXYCVY8J8BHHDR9836JE
prod_01KKC5KXMBVS2V527YA88AD2RF,rapala-the-mayor-275-soft-bait,Rapala CrushCity The Mayor 2.75,published,https://mtvz.bg/products/rapala-the-mayor-275.jpg,variant_01KKC5KXYAQ2J2ZB75TCDJAPPZ
prod_01KKC5KXMBY52BNGN69TCAKDN8,rapala-the-mayor-35-soft-bait,Rapala CrushCity The Mayor 3.5,published,https://mtvz.bg/products/rapala-the-mayor-35.jpg,variant_01KKC5KXYB910Z8JD1X05HXDV6
prod_01KKC5KXMBZ49SV0QCQBRNJ8RA,blue-fox-rattlin-pixee-spoon-standard-lure,Blue Fox Rattlin Pixee Spoon,published,https://mtvz.bg/products/blue-fox-rattlin-pixee-spoon.jpg,variant_01KKC5KXYCXCSC243CEMPBVFZA
prod_01KKC5KXMC31EMWEPMB5KVTJ9Y,rapala-anglers-pliers-standard-fishing-tool,Rapala Anglers Pliers,published,https://mtvz.bg/products/anglers-pliers.jpg,variant_01KKC5KXYE29VNZ2CQHTSKTQK5
prod_01KKC5KXMC7AVGSJZRPG7NPWBG,rapala-folding-net-standard-landing-net,Rapala Folding Net,published,https://mtvz.bg/products/rapala-folding-net.jpg,variant_01KKC5KXYF1WB16Y1AHCRM7R2H
prod_01KKC5KXMC82T8JK81E963TT95,plano-waterproof-stowaway-3700-tackle-box,Plano Waterproof StowAway 3700,published,https://mtvz.bg/products/plano-waterproof-stowaway-3700.jpg,variant_01KKC5KXYEHWHGXVRVTGW07DW7
prod_01KKC5KXMC9HBHVZYRF1APJ5JR,plano-waterproof-stowaway-3600-tackle-box,Plano Waterproof StowAway 3600,published,https://mtvz.bg/products/plano-waterproof-stowaway-3600.jpg,variant_01KKC5KXYEVHBP1AXEYYFRYDNN
prod_01KKC5KXMCCA7JP9NK9F6YG3SC,rapala-fishing-clipper-and-lanyard-standard-fishing-tool,Rapala Fishing Clipper and Lanyard,published,https://mtvz.bg/products/fishing-clipper-lanyard.jpg,variant_01KKC5KXYEYHCNYVYSGYCFECVS
prod_01KKC5KXMCSQH5DH2B3ZNJZKZ4,rapala-stainless-steel-pliers-standard-fishing-tool,Rapala Stainless Steel Pliers,published,https://mtvz.bg/products/stainless-steel-pliers.jpg,variant_01KKC5KXYEN5F5NKN5NGQRBS2H
